App;Performance Score
Astro;70.00
Astro;70.00
Astro;70.00
Astro;70.00
Astro;70.00
Astro;70.00
Astro;70.00
Astro;70.00
Astro;70.00
Astro;70.00
Astro;70.00
Astro;70.00
Astro;70.00
Astro;70.00
Astro;70.00
Astro;70.00
Astro;70.00
Astro;70.00
Astro;70.00
Astro;70.00
Astro;70.00
Astro;70.00
Astro;70.00
Astro;70.00
Astro;70.00
Astro;70.00
Astro;70.00
Astro;70.00
Astro;70.00
Astro;70.00
Astro;70.00
Astro;70.00
Astro;70.00
Astro;70.00
Astro;70.00
Astro;70.00
Astro;70.00
Astro;70.00
Astro;70.00
Astro;70.00
Astro;70.00
Astro;70.00
Astro;70.00
Astro;70.00
Astro;70.00
Astro;70.00
Astro;70.00
Astro;70.00
Astro;70.00
Astro;70.00
Nextjs;70.00
Nextjs;69.00
Nextjs;70.00
Nextjs;70.00
Nextjs;70.00
Nextjs;70.00
Nextjs;70.00
Nextjs;70.00
Nextjs;70.00
Nextjs;70.00
Nextjs;70.00
Nextjs;70.00
Nextjs;70.00
Nextjs;70.00
Nextjs;70.00
Nextjs;70.00
Nextjs;70.00
Nextjs;70.00
Nextjs;70.00
Nextjs;70.00
Nextjs;70.00
Nextjs;70.00
Nextjs;70.00
Nextjs;70.00
Nextjs;70.00
Nextjs;70.00
Nextjs;70.00
Nextjs;70.00
Nextjs;70.00
Nextjs;70.00
Nextjs;70.00
Nextjs;70.00
Nextjs;70.00
Nextjs;70.00
Nextjs;70.00
Nextjs;70.00
Nextjs;70.00
Nextjs;70.00
Nextjs;70.00
Nextjs;70.00
Nextjs;70.00
Nextjs;70.00
Nextjs;70.00
Nextjs;70.00
Nextjs;70.00
Nextjs;70.00
Nextjs;70.00
Nextjs;70.00
Nextjs;69.00
Nextjs;70.00
React;46.00
React;46.00
React;46.00
React;46.00
React;46.00
React;46.00
React;46.00
React;44.00
React;46.00
React;46.00
React;47.00
React;46.00
React;46.00
React;46.00
React;46.00
React;46.00
React;46.00
React;46.00
React;45.00
React;46.00
React;46.00
React;46.00
React;46.00
React;46.00
React;46.00
React;46.00
React;46.00
React;46.00
React;46.00
React;46.00
React;46.00
React;46.00
React;46.00
React;46.00
React;46.00
React;46.00
React;46.00
React;45.00
React;46.00
React;46.00
React;44.00
React;46.00
React;46.00
React;46.00
React;46.00
React;46.00
React;46.00
React;46.00
React;46.00
React;46.00
Svelte;46.00
Svelte;49.00
Svelte;48.00
Svelte;47.00
Svelte;48.00
Svelte;47.00
Svelte;48.00
Svelte;48.00
Svelte;49.00
Svelte;48.00
Svelte;47.00
Svelte;49.00
Svelte;48.00
Svelte;48.00
Svelte;49.00
Svelte;49.00
Svelte;47.00
Svelte;47.00
Svelte;47.00
Svelte;47.00
Svelte;48.00
Svelte;49.00
Svelte;49.00
Svelte;48.00
Svelte;47.00
Svelte;49.00
Svelte;45.00
Svelte;48.00
Svelte;49.00
Svelte;48.00
Svelte;47.00
Svelte;49.00
Svelte;47.00
Svelte;48.00
Svelte;47.00
Svelte;47.00
Svelte;47.00
Svelte;49.00
Svelte;49.00
Svelte;48.00
Svelte;48.00
Svelte;47.00
Svelte;49.00
Svelte;48.00
Svelte;49.00
Svelte;48.00
Svelte;49.00
Svelte;48.00
Svelte;48.00
Svelte;49.00
