App;Performance Score
Astro;100.00
Astro;100.00
Astro;100.00
Astro;100.00
Astro;100.00
Astro;100.00
Astro;100.00
Astro;100.00
Astro;100.00
Astro;100.00
Astro;100.00
Astro;100.00
Astro;100.00
Astro;100.00
Astro;100.00
Astro;100.00
Astro;100.00
Astro;100.00
Astro;100.00
Astro;100.00
Astro;100.00
Astro;100.00
Astro;100.00
Astro;100.00
Astro;100.00
Astro;100.00
Astro;100.00
Astro;100.00
Astro;100.00
Astro;100.00
Astro;100.00
Astro;100.00
Astro;100.00
Astro;100.00
Astro;100.00
Astro;100.00
Astro;100.00
Astro;100.00
Astro;100.00
Astro;100.00
Astro;100.00
Astro;100.00
Astro;100.00
Astro;100.00
Astro;100.00
Astro;100.00
Astro;100.00
Astro;100.00
Astro;100.00
Astro;100.00
Nextjs;96.00
Nextjs;98.00
Nextjs;99.00
Nextjs;98.00
Nextjs;99.00
Nextjs;98.00
Nextjs;99.00
Nextjs;98.00
Nextjs;98.00
Nextjs;99.00
Nextjs;97.00
Nextjs;99.00
Nextjs;99.00
Nextjs;98.00
Nextjs;98.00
Nextjs;99.00
Nextjs;98.00
Nextjs;99.00
Nextjs;98.00
Nextjs;98.00
Nextjs;97.00
Nextjs;99.00
Nextjs;95.00
Nextjs;98.00
Nextjs;98.00
Nextjs;98.00
Nextjs;99.00
Nextjs;98.00
Nextjs;99.00
Nextjs;97.00
Nextjs;98.00
Nextjs;99.00
Nextjs;99.00
Nextjs;99.00
Nextjs;98.00
Nextjs;99.00
Nextjs;99.00
Nextjs;98.00
Nextjs;96.00
Nextjs;98.00
Nextjs;97.00
Nextjs;98.00
Nextjs;98.00
Nextjs;97.00
Nextjs;98.00
Nextjs;98.00
Nextjs;98.00
Nextjs;98.00
Nextjs;98.00
Nextjs;97.00
React;96.00
React;96.00
React;96.00
React;96.00
React;96.00
React;96.00
React;95.00
React;96.00
React;96.00
React;94.00
React;96.00
React;95.00
React;95.00
React;96.00
React;96.00
React;95.00
React;96.00
React;95.00
React;95.00
React;96.00
React;96.00
React;94.00
React;96.00
React;96.00
React;96.00
React;95.00
React;95.00
React;96.00
React;96.00
React;96.00
React;96.00
React;95.00
React;95.00
React;96.00
React;95.00
React;95.00
React;96.00
React;96.00
React;95.00
React;96.00
React;96.00
React;96.00
React;94.00
React;96.00
React;96.00
React;96.00
React;94.00
React;95.00
React;96.00
React;96.00
Svelte;96.00
Svelte;97.00
Svelte;97.00
Svelte;96.00
Svelte;96.00
Svelte;96.00
Svelte;95.00
Svelte;96.00
Svelte;95.00
Svelte;96.00
Svelte;96.00
Svelte;96.00
Svelte;95.00
Svelte;97.00
Svelte;97.00
Svelte;97.00
Svelte;95.00
Svelte;96.00
Svelte;97.00
Svelte;95.00
Svelte;97.00
Svelte;96.00
Svelte;95.00
Svelte;95.00
Svelte;97.00
Svelte;97.00
Svelte;95.00
Svelte;98.00
Svelte;95.00
Svelte;96.00
Svelte;96.00
Svelte;96.00
Svelte;98.00
Svelte;97.00
Svelte;97.00
Svelte;96.00
Svelte;96.00
Svelte;96.00
Svelte;96.00
Svelte;96.00
Svelte;96.00
Svelte;96.00
Svelte;96.00
Svelte;96.00
Svelte;97.00
Svelte;96.00
Svelte;95.00
Svelte;95.00
Svelte;95.00
Svelte;97.00
