App;Performance Score
Astro;74
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Nextjs;92
Nextjs;99
Nextjs;99
Nextjs;99
Nextjs;99
Nextjs;98
Nextjs;100
Nextjs;99
Nextjs;99
Nextjs;99
Nextjs;99
Nextjs;100
Nextjs;100
Nextjs;98
Nextjs;99
Nextjs;98
Nextjs;99
Nextjs;99
Nextjs;98
Nextjs;99
Nextjs;99
Nextjs;99
Nextjs;99
Nextjs;99
Nextjs;99
Nextjs;99
Nextjs;99
Nextjs;99
Nextjs;99
Nextjs;99
Nextjs;100
Nextjs;98
Nextjs;100
Nextjs;99
Nextjs;99
Nextjs;100
Nextjs;99
Nextjs;99
Nextjs;99
Nextjs;100
Nextjs;99
Nextjs;99
Nextjs;99
Nextjs;99
Nextjs;99
Nextjs;100
Nextjs;99
Nextjs;99
Nextjs;100
Nextjs;100
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;95
React;96
React;96
React;96
React;97
React;96
React;95
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;95
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
Svelte;94
Svelte;96
Svelte;95
Svelte;95
Svelte;96
Svelte;96
Svelte;95
Svelte;96
Svelte;96
Svelte;95
Svelte;96
Svelte;95
Svelte;95
Svelte;95
Svelte;95
Svelte;95
Svelte;95
Svelte;95
Svelte;96
Svelte;96
Svelte;97
Svelte;95
Svelte;95
Svelte;96
Svelte;96
Svelte;96
Svelte;95
Svelte;97
Svelte;97
Svelte;95
Svelte;95
Svelte;95
Svelte;95
Svelte;97
Svelte;96
Svelte;95
Svelte;96
Svelte;95
Svelte;96
Svelte;95
Svelte;95
Svelte;95
Svelte;96
Svelte;96
Svelte;96
Svelte;96
Svelte;97
Svelte;95
Svelte;95
Svelte;97
