App;Performance Score
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Nextjs;71
Nextjs;73
Nextjs;73
Nextjs;73
Nextjs;74
Nextjs;74
Nextjs;73
Nextjs;73
Nextjs;74
Nextjs;74
Nextjs;74
Nextjs;73
Nextjs;74
Nextjs;74
Nextjs;74
Nextjs;74
Nextjs;74
Nextjs;74
Nextjs;74
Nextjs;73
Nextjs;74
Nextjs;74
Nextjs;73
Nextjs;73
Nextjs;74
Nextjs;74
Nextjs;73
Nextjs;74
Nextjs;73
Nextjs;73
Nextjs;74
Nextjs;74
Nextjs;74
Nextjs;74
Nextjs;73
Nextjs;73
Nextjs;74
Nextjs;74
Nextjs;74
Nextjs;74
Nextjs;74
Nextjs;74
Nextjs;74
Nextjs;74
Nextjs;73
Nextjs;71
Nextjs;73
Nextjs;73
Nextjs;74
Nextjs;73
React;62
React;62
React;62
React;62
React;61
React;62
React;61
React;62
React;62
React;62
React;61
React;62
React;62
React;61
React;62
React;62
React;62
React;62
React;62
React;62
React;62
React;62
React;62
React;61
React;62
React;61
React;62
React;61
React;61
React;62
React;62
React;62
React;62
React;62
React;61
React;61
React;62
React;62
React;61
React;61
React;62
React;61
React;62
React;62
React;62
React;62
React;61
React;61
React;61
React;62
Svelte;40
Svelte;41
Svelte;42
Svelte;41
Svelte;41
Svelte;41
Svelte;42
Svelte;42
Svelte;42
Svelte;42
Svelte;43
Svelte;42
Svelte;42
Svelte;43
Svelte;42
Svelte;41
Svelte;42
Svelte;41
Svelte;41
Svelte;41
Svelte;42
Svelte;43
Svelte;42
Svelte;43
Svelte;42
Svelte;42
Svelte;42
Svelte;41
Svelte;44
Svelte;42
Svelte;43
Svelte;41
Svelte;44
Svelte;42
Svelte;42
Svelte;43
Svelte;44
Svelte;42
Svelte;43
Svelte;41
Svelte;44
Svelte;43
Svelte;42
Svelte;42
Svelte;41
Svelte;42
Svelte;42
Svelte;41
Svelte;42
Svelte;42
