App;Performance Score
Astro;76
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Nextjs;98
Nextjs;100
Nextjs;100
Nextjs;100
Nextjs;100
Nextjs;100
Nextjs;100
Nextjs;100
Nextjs;100
Nextjs;100
Nextjs;100
Nextjs;100
Nextjs;100
Nextjs;100
Nextjs;100
Nextjs;100
Nextjs;100
Nextjs;100
Nextjs;100
Nextjs;100
Nextjs;100
Nextjs;100
Nextjs;100
Nextjs;100
Nextjs;100
Nextjs;100
Nextjs;100
Nextjs;100
Nextjs;100
Nextjs;100
Nextjs;100
Nextjs;100
Nextjs;100
Nextjs;100
Nextjs;100
Nextjs;100
Nextjs;100
Nextjs;100
Nextjs;100
Nextjs;100
Nextjs;100
Nextjs;100
Nextjs;100
Nextjs;100
Nextjs;100
Nextjs;100
Nextjs;100
Nextjs;100
Nextjs;100
Nextjs;100
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;96
Svelte;79
Svelte;80
Svelte;80
Svelte;81
Svelte;75
Svelte;81
Svelte;81
Svelte;80
Svelte;94
Svelte;80
Svelte;80
Svelte;80
Svelte;75
Svelte;80
Svelte;80
Svelte;78
Svelte;80
Svelte;80
Svelte;80
Svelte;81
Svelte;81
Svelte;96
Svelte;81
Svelte;81
Svelte;75
Svelte;94
Svelte;79
Svelte;80
Svelte;80
Svelte;94
Svelte;81
Svelte;80
Svelte;80
Svelte;97
Svelte;80
Svelte;80
Svelte;75
Svelte;80
Svelte;80
Svelte;80
Svelte;81
Svelte;80
Svelte;80
Svelte;80
Svelte;81
Svelte;80
Svelte;80
Svelte;80
Svelte;78
Svelte;80
