App;Performance Score
Astro;69
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Astro;67
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Astro;70
Astro;68
Astro;70
Astro;70
Astro;67
Astro;67
Astro;69
Astro;70
Astro;70
Astro;70
Astro;69
Astro;70
Astro;70
Astro;70
Astro;67
Astro;70
Astro;69
Astro;70
Astro;70
Astro;67
Astro;70
Astro;69
Astro;70
Astro;67
Astro;70
Astro;68
Astro;67
Astro;70
Astro;67
Astro;70
Astro;70
Astro;70
Astro;70
Astro;67
Astro;70
Astro;67
Nextjs;70
Nextjs;69
Nextjs;70
Nextjs;70
Nextjs;70
Nextjs;70
Nextjs;68
Nextjs;70
Nextjs;70
Nextjs;70
Nextjs;70
Nextjs;70
Nextjs;70
Nextjs;70
Nextjs;70
Nextjs;70
Nextjs;70
Nextjs;70
Nextjs;70
Nextjs;69
Nextjs;69
Nextjs;70
Nextjs;70
Nextjs;70
Nextjs;70
Nextjs;70
Nextjs;70
Nextjs;70
Nextjs;70
Nextjs;70
Nextjs;70
Nextjs;70
Nextjs;70
Nextjs;70
Nextjs;69
Nextjs;70
Nextjs;70
Nextjs;69
Nextjs;70
Nextjs;70
Nextjs;70
Nextjs;70
Nextjs;70
Nextjs;70
Nextjs;70
Nextjs;70
Nextjs;70
Nextjs;69
Nextjs;70
Nextjs;70
React;44
React;45
React;44
React;45
React;45
React;44
React;45
React;44
React;45
React;44
React;44
React;44
React;45
React;44
React;44
React;45
React;44
React;44
React;44
React;44
React;44
React;44
React;45
React;44
React;45
React;44
React;45
React;44
React;44
React;44
React;44
React;45
React;44
React;44
React;44
React;41
React;44
React;44
React;45
React;45
React;44
React;44
React;44
React;44
React;44
React;45
React;44
React;45
React;45
React;44
Svelte;42
Svelte;44
Svelte;45
Svelte;44
Svelte;45
Svelte;44
Svelte;45
Svelte;45
Svelte;44
Svelte;45
Svelte;43
Svelte;43
Svelte;43
Svelte;44
Svelte;44
Svelte;46
Svelte;44
Svelte;45
Svelte;44
Svelte;44
Svelte;42
Svelte;44
Svelte;43
Svelte;44
Svelte;45
Svelte;43
Svelte;46
Svelte;46
Svelte;44
Svelte;45
Svelte;44
Svelte;44
Svelte;44
Svelte;46
Svelte;43
Svelte;45
Svelte;44
Svelte;44
Svelte;45
Svelte;43
Svelte;43
Svelte;46
Svelte;44
Svelte;38
Svelte;45
Svelte;44
Svelte;44
Svelte;42
Svelte;43
Svelte;43
