App;Performance Score
Nextjs;91
Nextjs;93
Nextjs;94
Nextjs;92
Nextjs;92
Nextjs;89
Nextjs;91
Nextjs;90
Nextjs;91
Nextjs;89
Nextjs;91
Nextjs;89
Nextjs;94
Nextjs;93
Nextjs;87
Nextjs;92
Nextjs;86
Nextjs;91
Nextjs;94
Nextjs;91
Nextjs;91
Nextjs;92
Nextjs;90
Nextjs;91
Nextjs;94
Nextjs;91
Nextjs;93
Nextjs;88
Nextjs;97
Nextjs;90
Nextjs;88
Nextjs;94
Nextjs;85
Nextjs;89
Nextjs;88
Nextjs;89
Nextjs;94
Nextjs;96
Nextjs;94
Nextjs;91
Nextjs;90
Nextjs;94
Nextjs;95
Nextjs;90
Nextjs;91
Nextjs;94
Nextjs;91
Nextjs;90
Nextjs;97
Nextjs;93
React;91
React;96
React;95
React;96
React;96
React;95
React;96
React;95
React;94
React;96
React;95
React;96
React;95
React;96
React;96
React;95
React;96
React;96
React;96
React;96
React;95
React;96
React;95
React;96
React;95
React;95
React;96
React;96
React;90
React;95
React;96
React;89
React;96
React;96
React;96
React;96
React;96
React;96
React;96
React;95
React;96
React;96
React;93
React;95
React;95
React;96
React;96
React;96
React;96
React;95
Svelte;95
Svelte;95
Svelte;95
Svelte;95
Svelte;95
Svelte;95
Svelte;97
Svelte;95
Svelte;95
Svelte;95
Svelte;96
Svelte;95
Svelte;96
Svelte;95
Svelte;96
Svelte;96
Svelte;97
Svelte;96
Svelte;95
Svelte;94
Svelte;96
Svelte;95
Svelte;95
Svelte;95
Svelte;96
Svelte;95
Svelte;95
Svelte;97
Svelte;97
Svelte;96
Svelte;95
Svelte;96
Svelte;95
Svelte;95
Svelte;97
Svelte;97
Svelte;96
Svelte;97
Svelte;94
Svelte;97
Svelte;96
Svelte;97
Svelte;96
Svelte;96
Svelte;96
Svelte;95
Svelte;95
Svelte;95
Svelte;96
Svelte;95
Astro;99
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;97
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;99
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
Astro;100
